"","id","name","gene.id","gene.symbol","gene.name","entrez.id","chromosome","start.position","end.position","p","fold.change"
"9263",1045932,"A_23_P144827",22949,"FBXL7","F-box and leucine-rich repeat protein 7",23194,"5","n/a","n/a",0.00139,1.218
"9264",1021743,"A_24_P333364",78293,"AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",116988,"7","n/a","n/a",5.47e-05,1.218
"9265",1021940,"CUST_14857_PI416261804",80548,"TCAM1P","testicular cell adhesion molecule 1 homolog (mouse), pseudogene",146771,"17","n/a","n/a",0.0197,1.218
"9266",1050013,"A_23_P157465",7946,"UBXN8","UBX domain protein 8",7993,"8","n/a","n/a",0.000573,1.218
"9267",1026473,"CUST_6375_PI416261804",7965,"NR4A3","nuclear receptor subfamily 4, group A, member 3",8013,"9","n/a","n/a",0.098,1.218
"9268",1024477,"CUST_1486_PI416261804",30955,"CABP2","calcium binding protein 2",51475,"11","n/a","n/a",0.0233,1.218
"9269",1015145,"CUST_15898_PI416261804",6810,"SYK","spleen tyrosine kinase",6850,"9","n/a","n/a",0.0176,1.218
"9270",1024410,"A_32_P201979",80302,"HECTD2","HECT domain containing E3 ubiquitin protein ligase 2",143279,"10","n/a","n/a",0.000436,1.218
"9271",1053155,"A_23_P145889",5186,"CDK14","cyclin-dependent kinase 14",5218,"7","n/a","n/a",0.00136,1.218
"9272",1035866,"CUST_6008_PI416261804",78796,"DNAJC24","DnaJ (Hsp40) homolog, subfamily C, member 24",120526,"11","n/a","n/a",1.29e-05,1.218
"9273",1052458,"A_23_P12463",5736,"QSOX1","quiescin Q6 sulfhydryl oxidase 1",5768,"1","n/a","n/a",0.000372,1.218
"9274",1017109,"CUST_656_PI417507815",123910,"OR4M2","olfactory receptor, family 4, subfamily M, member 2",390538,"15","n/a","n/a",0.00741,1.218
"9275",1059275,"A_23_P36745",214,"ALDH2","aldehyde dehydrogenase 2 family (mitochondrial)",217,"12","n/a","n/a",0.000392,1.218
"9276",1060984,"A_24_P484904",1005026,"A_24_P484904","AGILENT probe A_24_P484904 (non-RefSeq)",0,"n/a","n/a","n/a",0.00154,1.218
"9277",1058669,"A_23_P344515",746,"C16orf3","chromosome 16 open reading frame 3",750,"16","n/a","n/a",0.00946,1.218
"9278",1012457,"CUST_9097_PI416261804",1001158,"LOC100288731","hypothetical protein LOC100288731",100288731,"1","n/a","n/a",0.0107,1.218
"9279",1070370,"A_24_P115796",59855,"TSPAN18","tetraspanin 18",90139,"11","n/a","n/a",0.0168,1.217
"9280",1062719,"A_32_P93736",1006149,"A_32_P93736","AGILENT probe A_32_P93736 (non-RefSeq)",0,"n/a","n/a","n/a",0.0271,1.217
"9281",1053914,"A_23_P162547",4607,"MYL2","myosin, light chain 2, regulatory, cardiac, slow",4633,"12","n/a","n/a",0.00805,1.217
"9282",1034815,"A_23_P388200",80334,"KDELC2","KDEL (Lys-Asp-Glu-Leu) containing 2",143888,"11","n/a","n/a",0.117,1.217
"9283",1016341,"A_24_P384029",1002686,"A_24_P384029","AGILENT probe A_24_P384029 (non-RefSeq)",0,"n/a","n/a","n/a",0.0661,1.217
"9284",1019438,"A_32_P43588",23537,"POTEH","POTE ankyrin domain family, member H",23784,"22","n/a","n/a",0.0219,1.217
"9285",1031617,"CUST_8299_PI416261804",119528,"C1orf187","chromosome 1 open reading frame 187",374946,"1","n/a","n/a",0.0262,1.217
"9286",1027370,"A_23_P214121",259,"AMD1","adenosylmethionine decarboxylase 1",262,"6","n/a","n/a",8.08e-05,1.217
"9287",1045485,"A_23_P143316",23381,"PRND","prion protein 2 (dublet)",23627,"20","n/a","n/a",0.0273,1.217
"9288",1019677,"A_23_P419624",10746,"BLCAP","bladder cancer associated protein",10904,"20","n/a","n/a",0.00461,1.217
"9289",1022155,"A_23_P84399",25796,"CNTNAP2","contactin associated protein-like 2",26047,"7","n/a","n/a",0.00179,1.217
"9290",1014028,"A_24_P64401",59046,"LOC84856","uncharacterized LOC84856",84856,"10","n/a","n/a",0.0212,1.217
"9291",1069439,"A_24_P409891",1010732,"A_24_P409891","AGILENT probe A_24_P409891 (non-RefSeq)",0,"n/a","n/a","n/a",0.00237,1.217
"9292",1066824,"A_32_P156017",1008894,"A_32_P156017","AGILENT probe A_32_P156017 (non-RefSeq)",0,"n/a","n/a","n/a",0.0164,1.217
"9293",1021317,"A_23_P208293",5787,"PVRL2","poliovirus receptor-related 2 (herpesvirus entry mediator B)",5819,"19","n/a","n/a",2.33e-05,1.217
"9294",1068606,"A_24_P187298",1010061,"A_24_P118719","AGILENT probe A_24_P118719 (non-RefSeq)",0,"n/a","n/a","n/a",0.0451,1.217
"9295",1036902,"A_24_P185205",59881,"TP53I13","tumor protein p53 inducible protein 13",90313,"17","n/a","n/a",0.00945,1.217
"9296",1023220,"A_24_P185909",55639,"LONRF3","LON peptidase N-terminal domain and ring finger 3",79836,"X","n/a","n/a",0.00318,1.217
"9297",1027113,"CUST_1209_PI416379584",1013363,"KIR3DP1","killer-cell Ig-like receptor",768329,"19","n/a","n/a",0.0158,1.217
"9298",1042163,"A_24_P218757",34488,"FAM86C1","family with sequence similarity 86, member C1",55199,"11","n/a","n/a",1.02e-05,1.217
"9299",1026445,"A_23_P154806",2021,"EPB41L1","erythrocyte membrane protein band 4.1-like 1",2036,"20","n/a","n/a",0.000189,1.217
"9300",1030328,"A_23_P333934",125792,"MSLNL","mesothelin-like",401827,"16","n/a","n/a",0.0404,1.217
"9301",1042546,"A_24_P126393",34191,"TTC19","tetratricopeptide repeat domain 19",54902,"17","n/a","n/a",4.32e-05,1.217
"9302",1020766,"A_23_P326691",5896,"RBBP4","retinoblastoma binding protein 4",5928,"1","n/a","n/a",5.71e-05,1.217
"9303",1038386,"CUST_2239_PI416261804",56744,"KCNH6","potassium voltage-gated channel, subfamily H (eag-related), member 6",81033,"17","n/a","n/a",0.0211,1.217
"9304",1025319,"A_24_P79054",6998,"TGFB1","transforming growth factor, beta 1",7040,"19","n/a","n/a",0.0292,1.217
"9305",1051593,"A_24_P338603",6461,"SKI","v-ski sarcoma viral oncogene homolog (avian)",6497,"1","n/a","n/a",0.0284,1.217
"9306",1035202,"CUST_295_PI416573500",79578,"ZNF474","zinc finger protein 474",133923,"5","n/a","n/a",0.00253,1.217
"9307",1047300,"A_23_P124044",10375,"DEAF1","deformed epidermal autoregulatory factor 1 (Drosophila)",10522,"11","n/a","n/a",0.00358,1.217
"9308",1036257,"A_32_P92489",77504,"PKD1L2","polycystic kidney disease 1-like 2",114780,"16","n/a","n/a",0.02,1.217
"9309",1058762,"CUST_16222_PI416261804",669,"BRAF","v-raf murine sarcoma viral oncogene homolog B1",673,"7","n/a","n/a",5.88e-05,1.217
"9310",1063181,"A_24_P15797",1006469,"A_24_P15797","AGILENT probe A_24_P15797 (non-RefSeq)",0,"n/a","n/a","n/a",0.00104,1.217
"9311",1030053,"A_24_P242440",8634,"B4GALT2","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",8704,"1","n/a","n/a",0.000848,1.217
"9312",1047033,"A_24_P263623",10570,"PTGES3","prostaglandin E synthase 3 (cytosolic)",10728,"12","n/a","n/a",4.16e-05,1.217
"9313",1048570,"A_23_P41917",9319,"HOMER1","homer homolog 1 (Drosophila)",9456,"5","n/a","n/a",0.00548,1.217
"9314",1037189,"A_24_P135319",59142,"CGNL1","cingulin-like 1",84952,"15","n/a","n/a",0.0168,1.217
"9315",1070286,"A_24_P944383",25686,"WWTR1","WW domain containing transcription regulator 1",25937,"3","n/a","n/a",0.000109,1.217
"9316",1025167,"CUST_1194_PI416261804",135164,"OR10C1","olfactory receptor, family 10, subfamily C, member 1",442194,"6","n/a","n/a",0.0117,1.217
"9317",1040205,"CUST_1374_PI416573500",37949,"APOBEC3G","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G",60489,"22","n/a","n/a",0.0189,1.217
"9318",1061192,"A_23_P28582",1005139,"A_23_P28582","AGILENT probe A_23_P28582 (non-RefSeq)",0,"n/a","n/a","n/a",0.000206,1.217
"9319",1052595,"A_23_P97990",5622,"HTRA1","HtrA serine peptidase 1",5654,"10","n/a","n/a",0.000118,1.217
"9320",1040268,"CUST_5224_PI416261804",37760,"PRDM13","PR domain containing 13",59336,"6","n/a","n/a",0.0161,1.217
"9321",1050156,"A_23_P11025",7695,"ZNF185","zinc finger protein 185 (LIM domain)",7739,"X","n/a","n/a",0.0107,1.217
"9322",1059323,"CUST_14159_PI416261804",172,"AGA","aspartylglucosaminidase",175,"4","n/a","n/a",2e-04,1.217
"9323",1021035,"A_23_P215024",34516,"LRRC1","leucine rich repeat containing 1",55227,"6","n/a","n/a",0.00574,1.217
"9324",1046329,"CUST_12909_PI416261804",11172,"GABARAP","GABA(A) receptor-associated protein",11337,"17","n/a","n/a",0.0015,1.217
"9325",1026880,"A_23_P44964",85700,"FAM171A1","family with sequence similarity 171, member A1",221061,"10","n/a","n/a",5.53e-06,1.216
"9326",1067187,"A_32_P46112",1009148,"A_32_P46112","AGILENT probe A_32_P46112 (non-RefSeq)",0,"n/a","n/a","n/a",0.00336,1.216
"9327",1047399,"CUST_633_PI416261804",10296,"N4BP2L2","NEDD4 binding protein 2-like 2",10443,"13","n/a","n/a",0.000164,1.216
"9328",1031656,"A_24_P392201",119467,"TBC1D10C","TBC1 domain family, member 10C",374403,"11","n/a","n/a",0.00392,1.216
"9329",1058530,"A_23_P162010",882,"CCKBR","cholecystokinin B receptor",887,"11","n/a","n/a",0.0277,1.216
"9330",1054798,"CUST_13853_PI416261804",3748,"KCNJ16","potassium inwardly-rectifying channel, subfamily J, member 16",3773,"17","n/a","n/a",0.0772,1.216
"9331",1034909,"A_23_P143414",80152,"ROMO1","reactive oxygen species modulator 1",140823,"20","n/a","n/a",0.000749,1.216
"9332",1062148,"A_24_P332780",1005751,"A_23_P63114","AGILENT probe A_23_P63114 (non-RefSeq)",0,"n/a","n/a","n/a",0.083,1.216
"9333",1049364,"A_23_P370005",8666,"RIPK1","receptor (TNFRSF)-interacting serine-threonine kinase 1",8737,"6","n/a","n/a",0.000212,1.216
"9334",1067181,"A_24_P126294",1009142,"A_24_P126294","AGILENT probe A_24_P126294 (non-RefSeq)",0,"n/a","n/a","n/a",0.00274,1.216
"9335",1015429,"CUST_940_PI416379584",56114,"LRRC27","leucine rich repeat containing 27",80313,"10","n/a","n/a",1.21e-05,1.216
"9336",1061266,"A_24_P75324",1005180,"A_24_P75324","AGILENT probe A_24_P75324 (non-RefSeq)",0,"n/a","n/a","n/a",0.00397,1.216
"9337",1015712,"A_23_P131875",80083,"ANKRD60","ankyrin repeat domain 60",140731,"20","n/a","n/a",0.00623,1.216
"9338",1026793,"CUST_348_PI416379584",123693,"OR51B6","olfactory receptor, family 51, subfamily B, member 6",390058,"11","n/a","n/a",0.00388,1.216
"9339",1035003,"CUST_5393_PI416261804",79854,"KRTAP13-1","keratin associated protein 13-1",140258,"21","n/a","n/a",0.0389,1.216
"9340",1062421,"A_24_P918830",1005943,"A_24_P918830","AGILENT probe A_24_P918830 (non-RefSeq)",0,"n/a","n/a","n/a",0.00148,1.216
"9341",1013067,"A_23_P65041",1001468,"A_23_P65041","AGILENT probe A_23_P65041 (non-RefSeq)",0,"n/a","n/a","n/a",0.0154,1.216
"9342",1040068,"CUST_6521_PI416261804",40609,"NEUROG2","neurogenin 2",63973,"4","n/a","n/a",0.0121,1.216
"9343",1070999,"CUST_3052_PI416261804",1011987,"CUST_3052_PI416261804","AGILENT probe CUST_3052_PI416261804 (non-RefSeq)",0,"n/a","n/a","n/a",0.047,1.216
"9344",1053954,"A_23_P148737",4582,"MYBPH","myosin binding protein H",4608,"1","n/a","n/a",0.0127,1.216
"9345",1033350,"CUST_12961_PI416261804",83768,"NLRP11","NLR family, pyrin domain containing 11",204801,"19","n/a","n/a",0.0195,1.216
"9346",1055818,"CUST_14718_PI416261804",2987,"GZMM","granzyme M (lymphocyte met-ase 1)",3004,"19","n/a","n/a",0.000277,1.216
"9347",1022898,"CUST_1034_PI417557136",3340,"HTR4","5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled",3360,"5","n/a","n/a",0.00192,1.216
"9348",1048021,"CUST_10355_PI416261804",9789,"KIAA0020","KIAA0020",9933,"9","n/a","n/a",0.000119,1.216
"9349",1015477,"CUST_11873_PI416261804",172108,"MIR143HG","MIR143 host gene (non-protein coding)",728264,"5","n/a","n/a",0.00367,1.216
"9350",1029542,"A_24_P920521",81936,"COMMD6","COMM domain containing 6",170622,"13","n/a","n/a",0.0406,1.216
"9351",1067388,"A_24_P353709",8634,"B4GALT2","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",8704,"1","n/a","n/a",0.0274,1.216
"9352",1031470,"A_32_P82807",122759,"SETD8","SET domain containing (lysine methyltransferase) 8",387893,"12","n/a","n/a",0.00989,1.216
"9353",1037610,"A_23_P259506",58619,"CYSTM1","cysteine-rich transmembrane module containing 1",84418,"5","n/a","n/a",1.01e-05,1.216
"9354",1043334,"A_23_P42353",30993,"ETV7","ets variant 7",51513,"6","n/a","n/a",0.0338,1.216
"9355",1037241,"A_24_P313804",59104,"ZNF587","zinc finger protein 587",84914,"19","n/a","n/a",0.0289,1.216
"9356",1032736,"A_32_P10683",92011,"DSCR10","Down syndrome critical region gene 10 (non-protein coding)",259234,"21","n/a","n/a",0.0154,1.216
"9357",1056330,"A_23_P153897",2771,"GNG7","guanine nucleotide binding protein (G protein), gamma 7",2788,"19","n/a","n/a",0.00246,1.216
"9358",1067772,"A_32_P14201",7224,"TTC3","tetratricopeptide repeat domain 3",7267,"21","n/a","n/a",0.0028,1.216
"9359",1060754,"A_23_P395911",1004864,"A_23_P395911","AGILENT probe A_23_P395911 (non-RefSeq)",0,"n/a","n/a","n/a",0.00574,1.216
"9360",1020129,"A_23_P95755",5177,"PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",5209,"10","n/a","n/a",0.00593,1.216
"9361",1044356,"A_23_P40805",28735,"KLF15","Kruppel-like factor 15",28999,"3","n/a","n/a",0.00539,1.216
"9362",1070279,"A_24_P315862",1011310,"A_24_P315862","AGILENT probe A_24_P315862 (non-RefSeq)",0,"n/a","n/a","n/a",0.000431,1.216
"9363",1014457,"A_24_P212851",6558,"SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",6597,"19","n/a","n/a",0.00899,1.216
"9364",1024042,"A_23_P144020",81059,"CNTN4","contactin 4",152330,"3","n/a","n/a",0.0435,1.216
"9365",1028645,"A_23_P88141",10097,"GPHN","gephyrin",10243,"14","n/a","n/a",0.000279,1.216
"9366",1052322,"A_23_P168479",5866,"RALA","v-ral simian leukemia viral oncogene homolog A (ras related)",5898,"7","n/a","n/a",0.000123,1.215
"9367",1049154,"A_23_P82959",8849,"FOXH1","forkhead box H1",8928,"8","n/a","n/a",0.0195,1.215
"9368",1053103,"A_23_P210465",5234,"PI3","peptidase inhibitor 3, skin-derived",5266,"20","n/a","n/a",0.0431,1.215
"9369",1056412,"CUST_73_PI416383280",2687,"GJA8","gap junction protein, alpha 8, 50kDa",2703,"1","n/a","n/a",0.00687,1.215
"9370",1032782,"A_32_P337442",90371,"C10orf67","chromosome 10 open reading frame 67",256815,"10","n/a","n/a",0.0116,1.215
"9371",1019158,"A_24_P281801",81080,"ZNF595","zinc finger protein 595",152687,"4","n/a","n/a",0.0136,1.215
"9372",1016339,"CUST_898_PI416573500",151570,"FABP9","fatty acid binding protein 9, testis",646480,"8","n/a","n/a",0.00784,1.215
"9373",1014677,"A_24_P193648",58902,"GPT2","glutamic pyruvate transaminase (alanine aminotransferase) 2",84706,"16","n/a","n/a",0.000329,1.215
"9374",1051209,"CUST_2001_PI416261804",6626,"SOX12","SRY (sex determining region Y)-box 12",6666,"20","n/a","n/a",0.00122,1.215
"9375",1066039,"A_24_P796274",1008369,"A_24_P796274","AGILENT probe A_24_P796274 (non-RefSeq)",0,"n/a","n/a","n/a",3.42e-05,1.215
"9376",1036897,"CUST_14_PI416261804",59885,"CCDC97","coiled-coil domain containing 97",90324,"19","n/a","n/a",0.000404,1.215
"9377",1028341,"CUST_158_PI416573500",85515,"OR4C11","olfactory receptor, family 4, subfamily C, member 11",219429,"11","n/a","n/a",0.0071,1.215
"9378",1046272,"A_24_P363953",22597,"RAB11FIP2","RAB11 family interacting protein 2 (class I)",22841,"10","n/a","n/a",3.35e-06,1.215
"9379",1023766,"A_32_P385645",134941,"OR10J3","olfactory receptor, family 10, subfamily J, member 3",441911,"1","n/a","n/a",0.00207,1.215
"9380",1049227,"A_23_P147755",8785,"APLN","apelin",8862,"X","n/a","n/a",0.00039,1.215
"9381",1017798,"A_23_P142031",158834,"SBK2","SH3-binding domain kinase family, member 2",646643,"19","n/a","n/a",0.00466,1.215
"9382",1027089,"A_23_P139099",57038,"OR4A15","olfactory receptor, family 4, subfamily A, member 15",81328,"11","n/a","n/a",0.043,1.215
"9383",1041369,"CUST_5198_PI416261804",35348,"TMEM234","transmembrane protein 234",56063,"1","n/a","n/a",0.005,1.215
"9384",1063431,"A_32_P203126",149577,"C1orf145","chromosome 1 open reading frame 145",574407,"1","n/a","n/a",0.0171,1.215
"9385",1067932,"A_24_P358321",1009587,"A_24_P358321","AGILENT probe A_24_P358321 (non-RefSeq)",0,"n/a","n/a","n/a",0.0062,1.215
"9386",1019656,"A_23_P392076",29699,"STRN3","striatin, calmodulin binding protein 3",29966,"14","n/a","n/a",4.8e-05,1.215
"9387",1032891,"CUST_10776_PI416261804",90227,"LCE5A","late cornified envelope 5A",254910,"1","n/a","n/a",0.0379,1.215
"9388",1071180,"A_24_P914057",1012168,"A_24_P914057","AGILENT probe A_24_P914057 (non-RefSeq)",0,"n/a","n/a","n/a",0.0235,1.215
"9389",1025803,"A_32_P178503",122910,"C16orf86","chromosome 16 open reading frame 86",388284,"16","n/a","n/a",0.00462,1.215
"9390",1056842,"A_32_P164494",2515,"KDSR","3-ketodihydrosphingosine reductase",2531,"18","n/a","n/a",0.00925,1.215
"9391",1046341,"CUST_10034_PI416261804",11165,"CTRC","chymotrypsin C (caldecrin)",11330,"1","n/a","n/a",0.00378,1.215
"9392",1017709,"CUST_3440_PI416261804",2917,"GSN","gelsolin",2934,"9","n/a","n/a",0.0183,1.215
"9393",1052685,"A_24_P461118",5552,"PRKCI","protein kinase C, iota",5584,"3","n/a","n/a",2.61e-05,1.215
"9394",1053630,"A_24_P273823",4832,"NPAT","nuclear protein, ataxia-telangiectasia locus",4863,"11","n/a","n/a",4.29e-05,1.215
"9395",1057969,"CUST_14775_PI416261804",1381,"CREM","cAMP responsive element modulator",1390,"10","n/a","n/a",0.00202,1.215
"9396",1040723,"CUST_1013_PI416261804",36606,"CBX8","chromobox homolog 8",57332,"17","n/a","n/a",0.0222,1.215
"9397",1057992,"A_24_P35109",1356,"CLDN3","claudin 3",1365,"7","n/a","n/a",0.000376,1.215
"9398",1039745,"CUST_1346_PI416573500",41339,"CREB3L2","cAMP responsive element binding protein 3-like 2",64764,"7","n/a","n/a",0.0101,1.215
"9399",1040871,"A_23_P1575",36371,"TRIM49","tripartite motif containing 49",57093,"11","n/a","n/a",0.0149,1.215
"9400",1025446,"CUST_929_PI416261804",55701,"ZNF613","zinc finger protein 613",79898,"19","n/a","n/a",0.000216,1.215
"9401",1070436,"A_23_P23593",1011424,"A_23_P23593","AGILENT probe A_23_P23593 (non-RefSeq)",0,"n/a","n/a","n/a",0.0191,1.215
"9402",1053413,"A_23_P127721",4992,"P2RX3","purinergic receptor P2X, ligand-gated ion channel, 3",5024,"11","n/a","n/a",0.0163,1.215
"9403",1062403,"A_32_P39944",1005931,"A_32_P39944","AGILENT probe A_32_P39944 (non-RefSeq)",0,"n/a","n/a","n/a",0.0125,1.215
"9404",1068134,"A_32_P79719",1009696,"A_32_P79719","AGILENT probe A_32_P79719 (non-RefSeq)",0,"n/a","n/a","n/a",4.54e-05,1.215
"9405",1029642,"CUST_14621_PI416261804",5036,"REG3A","regenerating islet-derived 3 alpha",5068,"2","n/a","n/a",0.0049,1.215
"9406",1014260,"A_24_P68585",6428,"SHC1","SHC (Src homology 2 domain containing) transforming protein 1",6464,"1","n/a","n/a",0.00606,1.215
"9407",1019072,"A_24_P455060",125779,"LOC401777","serine/arginine-rich splicing factor 12 pseudogene",401777,"14","n/a","n/a",0.00103,1.215
"9408",1051001,"A_23_P24135",6825,"TACR2","tachykinin receptor 2",6865,"10","n/a","n/a",0.000674,1.215
"9409",1063562,"A_24_P481582",1006691,"A_24_P481582","AGILENT probe A_24_P481582 (non-RefSeq)",0,"n/a","n/a","n/a",0.0635,1.215
"9410",1011700,"CUST_11917_PI416261804",123473,"NUPR1L","nuclear protein, transcriptional regulator, 1-like",389493,"7","n/a","n/a",0.0112,1.215
"9411",1039765,"A_23_P100754",41325,"SMURF2","SMAD specific E3 ubiquitin protein ligase 2",64750,"17","n/a","n/a",0.00377,1.215
"9412",1012537,"A_24_P315564",1016169,"LOC100132261","uncharacterized LOC100132261",100132261,"11","n/a","n/a",0.0103,1.215
"9413",1029686,"A_23_P206945",48,"ACOX1","acyl-CoA oxidase 1, palmitoyl",51,"17","n/a","n/a",0.000178,1.215
"9414",1015369,"A_23_P373028",771,"CACNA1C","calcium channel, voltage-dependent, L type, alpha 1C subunit",775,"12","n/a","n/a",0.00352,1.215
"9415",1016464,"CUST_1014_PI416379584",110140,"TMPRSS7","transmembrane protease, serine 7",344805,"3","n/a","n/a",0.0109,1.214
"9416",1039527,"A_24_P117845",41769,"WNK2","WNK lysine deficient protein kinase 2",65268,"9","n/a","n/a",0.0672,1.214
"9417",1040241,"A_23_P45324",37777,"TMEM35","transmembrane protein 35",59353,"X","n/a","n/a",0.0048,1.214
"9418",1070227,"A_32_P39049",4001,"LPP","LIM domain containing preferred translocation partner in lipoma",4026,"3","n/a","n/a",4.35e-05,1.214
"9419",1058496,"A_24_P86968",911,"CD3E","CD3e molecule, epsilon (CD3-TCR complex)",916,"11","n/a","n/a",0.0177,1.214
"9420",1019420,"CUST_2674_PI416261804",1003523,"CUST_2674_PI416261804","AGILENT probe CUST_2674_PI416261804 (non-RefSeq)",0,"n/a","n/a","n/a",0.000342,1.214
"9421",1028722,"CUST_383_PI416573500",79195,"OR2T10","olfactory receptor, family 2, subfamily T, member 10",127069,"1","n/a","n/a",2.66e-05,1.214
"9422",1055181,"CUST_14482_PI416261804",3419,"IFNA1","interferon, alpha 1",3439,"9","n/a","n/a",0.011,1.214
"9423",1060163,"CUST_3228_PI416261804",1004442,"CUST_3228_PI416261804","AGILENT probe CUST_3228_PI416261804 (non-RefSeq)",0,"n/a","n/a","n/a",0.0425,1.214
"9424",1014180,"CUST_12610_PI416261804",134148,"MTHFD2L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like",441024,"4","n/a","n/a",0.00021,1.214
"9425",1039746,"CUST_1388_PI416379584",41339,"CREB3L2","cAMP responsive element binding protein 3-like 2",64764,"7","n/a","n/a",0.000213,1.214
"9426",1026452,"A_23_P153945",55515,"GTDC1","glycosyltransferase-like domain containing 1",79712,"2","n/a","n/a",0.00454,1.214
"9427",1064396,"A_32_P205407",1007265,"A_24_P648837","AGILENT probe A_24_P648837 (non-RefSeq)",0,"n/a","n/a","n/a",0.0173,1.214
"9428",1069518,"A_24_P238426",1010798,"A_24_P238426","AGILENT probe A_24_P238426 (non-RefSeq)",0,"n/a","n/a","n/a",1.24e-05,1.214
"9429",1040899,"CUST_1989_PI417557136",36362,"SLC17A6","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6",57084,"11","n/a","n/a",0.195,1.214
"9430",1027418,"CUST_10229_PI416261804",10707,"ARID5A","AT rich interactive domain 5A (MRF1-like)",10865,"2","n/a","n/a",0.000622,1.214
"9431",1027720,"CUST_15965_PI416261804",4337,"ABCC1","ATP-binding cassette, sub-family C (CFTR/MRP), member 1",4363,"16","n/a","n/a",0.000929,1.214
"9432",1027294,"A_23_P370625",36466,"SEPN1","selenoprotein N, 1",57190,"1","n/a","n/a",4.07e-05,1.214
"9433",1013695,"CUST_610_PI417507815",109720,"FAM201B","family with sequence similarity 201, member B",339742,"2","n/a","n/a",0.0453,1.214
"9434",1030179,"A_24_P247660",30637,"HN1","hematological and neurological expressed 1",51155,"17","n/a","n/a",8.57e-06,1.214
"9435",1061374,"CUST_5_PI417511553",1005237,"CUST_5_PI417511553","AGILENT probe CUST_5_PI417511553 (non-RefSeq)",0,"n/a","n/a","n/a",0.0457,1.214
"9436",1010365,"CUST_3880_PI416261804",1000055,"CUST_3880_PI416261804","AGILENT probe CUST_3880_PI416261804 (non-RefSeq)",0,"n/a","n/a","n/a",0.0247,1.214
"9437",1010573,"CUST_947_PI416379584",10848,"LILRB4","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4",11006,"19","n/a","n/a",0.0162,1.214
"9438",1016833,"A_24_P169896",1002829,"LOC100289922","hypothetical protein LOC100289922",100289922,"17","n/a","n/a",0.0278,1.214
"9439",1021854,"A_32_P129669",58644,"FRMPD3","FERM and PDZ domain containing 3",84443,"X","n/a","n/a",0.0183,1.214
"9440",1019336,"CUST_11792_PI416261804",81531,"ADAD2","adenosine deaminase domain containing 2",161931,"16","n/a","n/a",0.00363,1.214
"9441",1055189,"CUST_8754_PI416261804",3410,"IFI35","interferon-induced protein 35",3430,"17","n/a","n/a",0.0254,1.214
"9442",1046101,"CUST_1794_PI416261804",22769,"FBXO21","F-box protein 21",23014,"12","n/a","n/a",6.26e-05,1.214
"9443",1060037,"A_24_P579439",1004346,"A_24_P579439","AGILENT probe A_24_P579439 (non-RefSeq)",0,"n/a","n/a","n/a",0.1,1.214
"9444",1067701,"A_23_P104865",1009445,"A_23_P104865","AGILENT probe A_23_P104865 (non-RefSeq)",0,"n/a","n/a","n/a",0.0224,1.214
"9445",1034555,"CUST_7629_PI416261804",80679,"FAM187B","family with sequence similarity 187, member B",148109,"19","n/a","n/a",0.00389,1.214
"9446",1063375,"CUST_2679_PI416261804",1006597,"CUST_2621_PI416261804","AGILENT probe CUST_2621_PI416261804 (non-RefSeq)",0,"n/a","n/a","n/a",0.000589,1.214
"9447",1032892,"A_23_P350689",90223,"ZDHHC23","zinc finger, DHHC-type containing 23",254887,"3","n/a","n/a",0.0131,1.214
"9448",1037935,"A_23_P427136",58159,"TSSK1B","testis-specific serine kinase 1B",83942,"5","n/a","n/a",0.000522,1.214
"9449",1031735,"CUST_1033_PI416379584",110629,"LCE1F","late cornified envelope 1F",353137,"1","n/a","n/a",0.0273,1.214
"9450",1055630,"A_24_P801264",3126,"HMGB1","high mobility group box 1",3146,"13","n/a","n/a",0.000178,1.214
"9451",1045297,"CUST_15414_PI416261804",25583,"MGAT4C","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)",25834,"12","n/a","n/a",0.011,1.214
"9452",1045850,"CUST_10861_PI416261804",23041,"WWC1","WW and C2 domain containing 1",23286,"5","n/a","n/a",0.00899,1.214
"9453",1034814,"CUST_953_PI416261804",80335,"LAYN","layilin",143903,"11","n/a","n/a",0.0183,1.214
"9454",1016182,"A_24_P244447",85618,"SHANK2-AS3","SHANK2 antisense RNA 3 (non-protein coding)",220070,"11","n/a","n/a",0.0133,1.214
"9455",1042432,"A_24_P364263",34268,"HRASLS2","HRAS-like suppressor 2",54979,"11","n/a","n/a",0.0973,1.214
"9456",1059601,"A_23_P158461",5949,"RFC1","replication factor C (activator 1) 1, 145kDa",5981,"4","n/a","n/a",0.00706,1.214
"9457",1021740,"A_24_P253233",34558,"PSPC1","paraspeckle component 1",55269,"13","n/a","n/a",0.000651,1.214
